C1,A1,action,strength,C1_afteraction,A1_afteraction
-24.42,12.67,change C1,-2.729999999999997,-27.15,12.41
-27.15,12.41,change C1,-1.1600000000000001,-28.31,13.6
-28.31,13.6,change C1,-0.620000000000001,-28.93,14.75
-28.93,14.75,change C1,0.4800000000000004,-28.45,13.76
-28.45,13.76,change C1,18.43,-10.02,10.86
-10.02,10.86,change C1,6.944999999999999,-3.075,11.66
-3.075,11.66,change C1,0.016000000000000014,-3.059,11.44
-3.059,11.44,change C1,2.8911000000000002,-0.16790000000000002,11.1
-0.16790000000000002,11.1,change C1,0.6277,0.45980000000000004,11.88
0.45980000000000004,11.88,change C1,-1.1351,-0.6753,10.47
-0.6753,10.47,change C1,-0.7437,-1.419,10.84
-1.419,10.84,change C1,1.3677300000000001,-0.05127,11.39
-0.05127,11.39,change C1,0.52517,0.4739,10.7
0.4739,10.7,change C1,-1.5559,-1.082,13.03
-1.082,13.03,change C1,0.3539,-0.7281000000000001,11.72
-0.7281000000000001,11.72,change C1,-1.0139,-1.742,13.14
-1.742,13.14,change C1,0.851,-0.891,11.32
-0.891,11.32,change C1,0.49460000000000004,-0.3964,12.59
-0.3964,12.59,change C1,-0.8936000000000001,-1.29,12.08
-1.29,12.08,change C1,-1.419,-2.709,11.31
-2.709,11.31,change C1,0.43800000000000017,-2.271,11.44
-2.271,11.44,change C1,0.5239999999999998,-1.747,12.48
-1.747,12.48,change C1,-0.7339999999999998,-2.481,11.85
-2.481,11.85,change C1,0.0259999999999998,-2.455,11.53
-2.455,11.53,change C1,0.46199999999999997,-1.993,11.15
-1.993,11.15,change C1,-0.3619999999999999,-2.355,11.28
-2.355,11.28,change C1,-0.7839999999999998,-3.139,11.28
-3.139,11.28,change C1,0.41999999999999993,-2.719,12.23
-2.719,12.23,change C1,0.6469999999999998,-2.072,11.9
-2.072,11.9,change C1,-0.8010000000000002,-2.873,11.8
-2.873,11.8,change C1,0.10900000000000043,-2.764,11.94
-2.764,11.94,change C1,0.5539999999999998,-2.21,11.66
-2.21,11.66,change C1,0.1589999999999998,-2.051,11.9
-2.051,11.9,change C1,0.1280000000000001,-1.923,11.93
-1.923,11.93,change C1,-1.3719999999999999,-3.295,11.91
-3.295,11.91,change C1,0.819,-2.476,10.26
-4.327,8.121,change C1,3.3828,-0.9442,4.626
-0.9442,4.626,change C1,-1.2778,-2.222,5.298
3.929,5.501,change C1,0.6200000000000006,4.549,3.847
4.549,3.847,change C1,-0.38200000000000056,4.167,4.178
4.167,4.178,change C1,1.0040000000000004,5.171,5.257
5.171,5.257,change C1,0.3129999999999997,5.484,5.002
5.484,5.002,change C1,-1.3529999999999998,4.131,4.942
4.131,4.942,change C1,-1.883,2.248,4.651
2.248,4.651,change C1,-0.8560000000000003,1.392,4.746
1.392,4.746,change C1,-0.008000000000000007,1.384,4.377
1.384,4.377,change C1,-1.4046299999999998,-0.02063,5.231
-0.02063,5.231,change C1,-0.09237000000000001,-0.113,2.059
-0.113,2.059,change C1,0.2878,0.1748,2.087
0.1748,2.087,change C1,-0.036500000000000005,0.1383,1.517
0.1383,1.517,change C1,0.43299999999999994,0.5712999999999999,1.894
0.2499,1.92,change C1,-0.4887,-0.2388,1.523
-0.8312,4.361,change C1,-0.3298,-1.161,4.402
-1.161,4.402,change C1,0.4436,-0.7174,2.376
-0.7174,2.376,change C1,-0.17909999999999993,-0.8965,1.171
-0.8965,1.171,change C1,0.25870000000000004,-0.6377999999999999,1.558
-1.178,6.504,change C1,0.3819999999999999,-0.796,3.909
-0.796,3.909,change C1,0.9243000000000001,0.12830000000000003,1.338
0.12830000000000003,1.338,change C1,-1.3073000000000001,-1.179,2.101
-1.179,2.101,change C1,-0.20399999999999996,-1.383,0.7547
-0.7931,11.59,change C1,-0.018799999999999928,-0.8119,10.8
-0.8119,10.8,change C1,-0.8191,-1.631,11.18
-1.631,11.18,change C1,0.4059999999999999,-1.225,11.06
-1.225,11.06,change C1,0.7495,-0.47550000000000003,11.06
-0.47550000000000003,11.06,change C1,-0.5465,-1.022,10.93
-1.022,10.93,change C1,-0.06400000000000006,-1.086,11.89
-1.086,11.89,change C1,0.8779000000000001,-0.2081,11.71
-0.2081,11.71,change C1,-0.06529999999999997,-0.2734,11.22
-0.2734,11.22,change C1,-0.6238000000000001,-0.8972000000000001,11.52
-0.8972000000000001,11.52,change C1,1.3816000000000002,0.4844,6.084
0.4844,6.084,change C1,-0.2477,0.2367,3.766
0.2367,3.766,change C1,0.030100000000000043,0.26680000000000004,2.69
0.26680000000000004,2.69,change C1,-0.39820000000000005,-0.13140000000000002,2.707
-0.13140000000000002,2.707,change C1,0.7103999999999999,0.579,2.054
0.579,2.054,change C1,-0.9088,-0.32980000000000004,0.9394
0.1585,5.568,change C1,-0.6025,-0.444,3.906
-0.444,3.906,change C1,0.318,-0.126,2.151
-0.126,2.151,change C1,0.2762,0.1502,2.82
0.1502,2.82,change C1,0.5658,0.716,0.5690000000000001
0.716,0.5690000000000001,change C1,-0.48739999999999994,0.2286,1.231
0.2286,1.231,change C1,0.049500000000000016,0.2781,1.185
1.56,1.283,change C1,-0.9374,0.6226,1.344
0.6226,1.344,change C1,0.1794,0.802,1.071
0.1693,7.642,change C1,-0.00789999999999999,0.16140000000000002,5.982
0.16140000000000002,5.982,change C1,1.3046,1.466,3.783
1.466,3.783,change C1,-0.9446,0.5214,3.821
0.5214,3.821,change C1,0.037900000000000045,0.5593,2.456
0.5593,2.456,change C1,1.1337000000000002,1.693,2.625
1.693,2.625,change C1,0.24499999999999988,1.938,1.08
1.938,1.08,change C1,-1.0937000000000001,0.8442999999999999,0.4878
1.372,2.759,change C1,-0.4076000000000001,0.9644,2.337
0.9644,2.337,change C1,0.024700000000000055,0.9891000000000001,2.922
0.9891000000000001,2.922,change C1,0.5758999999999999,1.565,1.606
1.565,1.606,change C1,-0.131,1.434,0.7463
1.434,0.7463,change C1,0.21599999999999997,1.65,1.312
1.65,1.312,change C1,-0.7304999999999999,0.9195,0.3887
0.9195,0.3887,change C1,0.10149999999999992,1.021,1.456
1.551,1.973,change C1,0.21700000000000008,1.768,0.6127
1.768,0.6127,change C1,0.08800000000000008,1.856,0.4732
1.856,0.4732,change C1,-1.1705,0.6855,1.397
0.6855,1.397,change C1,0.03539999999999999,0.7209,0.9576
0.508,4.661,change C1,0.15039999999999998,0.6584,1.926
0.6584,1.926,change C1,0.20810000000000006,0.8665,2.694
0.8665,2.694,change C1,0.8955,1.762,1.107
1.762,1.107,change C1,-0.554,1.208,0.9726
1.208,0.9726,change C1,-0.5475,0.6605,2.108
1.402,6.455,change C1,-0.5062999999999999,0.8957,3.79
0.8957,3.79,change C1,-0.3518000000000001,0.5438999999999999,3.653
0.5068,3.627,change C1,0.2659999999999999,0.7727999999999999,2.733
0.7727999999999999,2.733,change C1,0.03430000000000011,0.8071,2.007
0.8071,2.007,change C1,-0.26239999999999997,0.5447000000000001,0.25939999999999996
0.5447000000000001,0.25939999999999996,change C1,1.5082999999999998,2.053,1.555
2.053,1.555,change C1,-0.4989999999999999,1.554,0.4015
1.592,0.7711,change C1,-0.5450000000000002,1.047,0.7102999999999999
1.695,1.5,change C1,0.1279999999999999,1.823,1.649
1.823,1.649,change C1,0.16200000000000014,1.985,1.416
1.985,1.416,change C1,-1.0882,0.8967999999999999,1.078
0.8967999999999999,1.078,change C1,1.0832000000000002,1.98,1.97
1.98,1.97,change C1,-0.6539999999999999,1.326,1.024
1.326,1.024,change C1,0.3839999999999999,1.71,0.47950000000000004
6.89,3.274,change C1,-0.7119999999999997,6.178,4.268
6.178,4.268,change C1,0.5720000000000001,6.75,2.382
6.75,2.382,change C1,-4.019,2.731,1.795
2.731,1.795,change C1,-1.9792999999999998,0.7517,3.458
0.7517,3.458,change C1,-0.1703,0.5814,2.769
2.826,5.697,change C1,-0.17600000000000016,2.65,4.938
2.552,2.938,change C1,-0.589,1.963,2.892
1.963,2.892,change C1,-2.03666,-0.07366,3.125
-1.11,4.407,change C1,0.6537000000000001,-0.45630000000000004,4.812
-0.05084,1.48,change C1,0.66034,0.6095,1.212
0.6095,1.212,change C1,-0.5057,0.1038,2.396
0.1038,2.396,change C1,0.09560000000000002,0.19940000000000002,1.07
0.19940000000000002,1.07,change C1,-0.13544,0.06396,1.126
0.06396,1.126,change C1,-0.071572,-0.007612,0.7151000000000001
-0.007612,0.7151000000000001,change C1,0.038692,0.03108,0.6452000000000001
0.03108,0.6452000000000001,change C1,-0.42218,-0.3911,1.042
-0.3911,1.042,change C1,0.2248,-0.1663,0.8394
-0.1663,0.8394,change C1,33.3763,33.21,3.181
33.21,3.181,change C1,1.5700000000000003,34.78,3.25
34.78,3.25,change C1,-15.560000000000002,19.22,3.896
11.72,2.844,change C1,-13.669,-1.949,4.348
-5.063,1.272,change C1,4.188899999999999,-0.8741,1.888
-0.8741,1.888,change C1,0.6049,-0.2692,0.8506
4.482,1.523,change C1,-0.9660000000000002,3.516,2.062
3.516,2.062,change C1,-3.1136,0.4024,0.9965
0.4024,0.9965,change C1,0.26339999999999997,0.6658,1.335
0.6658,1.335,change C1,-0.661674,0.004126,0.8141
0.004126,0.8141,change C1,0.598774,0.6029,1.273
0.6029,1.273,change C1,1.0891,1.692,1.176
1.692,1.176,change C1,-1.1836,0.5084,0.6062000000000001
0.5084,0.6062000000000001,change C1,0.4124,0.9208,1.136
0.9208,1.136,change C1,0.6282,1.549,0.3695
1.549,0.3695,change C1,0.03600000000000003,1.585,1.361
1.585,1.361,change C1,-0.8302,0.7547999999999999,0.3665
0.7547999999999999,0.3665,change C1,-0.12369999999999992,0.6311,0.6646000000000001
0.6311,0.6646000000000001,change C1,-25.3511,-24.72,43.66
-24.72,43.66,change C1,-0.21000000000000085,-24.93,43.99
-24.93,43.99,change C1,0.21999999999999886,-24.71,40.57
-24.71,40.57,change C1,1.25,-23.46,40.27
-23.46,40.27,change C1,-0.41000000000000014,-23.87,41.95
-23.87,41.95,change C1,-41.42999999999999,-65.3,39.43
-65.3,39.43,change C1,53.849999999999994,-11.45,43.53
-11.45,43.53,change C1,30.48,19.03,41.53
19.03,41.53,change C1,-2.120000000000001,16.91,42.97
16.91,42.97,change C1,0.5300000000000011,17.44,43.14
17.44,43.14,change C1,12.5,29.94,41.35
29.94,41.35,change C1,-1.0899999999999999,28.85,43.43
28.85,43.43,change C1,-0.08999999999999986,28.76,41.42
28.76,41.42,change C1,-0.8200000000000003,27.94,40.88
25.05,8.61,change C1,-19.584,5.466,4.909
5.466,4.909,change C1,-30.756,-25.29,8.141
-25.29,8.141,change C1,-2.3500000000000014,-27.64,5.49
-27.71,3.382,change C1,5.66,-22.05,3.413
-22.05,3.413,change C1,7.98,-14.07,3.884
-14.07,3.884,change C1,13.2997,-0.7703,2.638
-0.7703,2.638,change C1,-1.1757,-1.946,1.824
-1.946,1.824,change C1,3.377,1.431,1.412
1.431,1.412,change C1,2.135,3.566,1.548
3.566,1.548,change C1,2.423,5.989,0.6582
5.989,0.6582,change C1,-9.178,-3.189,1.682
-3.189,1.682,change C1,1.02,-2.169,0.1156
-2.169,0.1156,change C1,0.488,-1.681,2.267
-1.681,2.267,change C1,0.17600000000000016,-1.505,1.626
-1.505,1.626,change C1,-0.026000000000000023,-1.531,1.341
-1.531,1.341,change C1,-0.29600000000000004,-1.827,0.3579
-1.827,0.3579,change C1,-0.875,-2.702,1.656
-2.702,1.656,change C1,0.6360000000000001,-2.066,1.156
17.7,7.184,change C1,-4.279999999999999,13.42,9.427
13.42,9.427,change C1,-9.586,3.834,7.017
3.834,7.017,change C1,-24.514,-20.68,6.463
-20.68,6.463,change C1,4.859999999999999,-15.82,7.005
-15.82,7.005,change C1,15.5356,-0.2844,6.742
-0.8589,0.8469,change C1,-0.32509999999999994,-1.184,0.2848
-1.184,0.2848,change C1,-0.8819999999999999,-2.066,0.09176000000000001
-2.066,0.09176000000000001,change C1,7.093,5.027,2.363
5.027,2.363,change C1,-8.505,-3.478,0.31889999999999996
-3.478,0.31889999999999996,change C1,-0.6179999999999999,-4.096,1.325
-4.096,1.325,change C1,1.931,-2.165,0.9083
-2.274,8.742,change C1,1.127,-1.147,9.063
-1.147,9.063,change C1,0.46110000000000007,-0.6859,9.733
-3.652,4.487,change C1,2.191,-1.461,5.983
-1.461,5.983,change C1,1.2507000000000001,-0.21030000000000001,2.19
-0.21030000000000001,2.19,change C1,-0.46740000000000004,-0.6777000000000001,0.9117999999999999
-0.6777000000000001,0.9117999999999999,change C1,-1.4642999999999997,-2.142,0.3472
-18.41,11.79,change C1,0.2699999999999996,-18.14,9.97
-18.14,9.97,change C1,0.4400000000000013,-17.7,9.871
-15.24,1.871,change C1,0.09999999999999964,-15.14,1.875
-15.14,1.875,change C1,0.9400000000000013,-14.2,2.841
-14.2,2.841,change C1,4.18,-10.02,2.633
-10.02,2.633,change C1,-2.49,-12.51,3.661
-12.51,3.661,change C1,1.6600000000000001,-10.85,3.464
-10.85,3.464,change C1,-1.1400000000000006,-11.99,4.508
-11.99,4.508,change C1,2.6479999999999997,-9.342,3.131
-9.342,3.131,change C1,-1.6879999999999988,-11.03,2.784
-11.03,2.784,change C1,4.249999999999999,-6.78,2.423
-6.78,2.423,change C1,-0.42300000000000004,-7.203,1.351
-7.203,1.351,change C1,1.6910000000000007,-5.512,1.922
-7.38,3.027,change C1,17.96,10.58,3.578
10.58,3.578,change C1,-7.114,3.466,2.396
3.466,2.396,change C1,-20.316000000000003,-16.85,3.66
-16.85,3.66,change C1,12.533000000000001,-4.317,2.762
-4.317,2.762,change C1,0.23599999999999977,-4.081,3.414
-4.081,3.414,change C1,-0.10099999999999998,-4.182,3.269
-4.182,3.269,change C1,-0.30799999999999983,-4.49,3.45
-4.49,3.45,change C1,0.6240000000000001,-3.866,2.961
-3.866,2.961,change C1,0.30100000000000016,-3.565,2.724
-3.565,2.724,change C1,-0.9499999999999997,-4.515,2.166
-4.515,2.166,change C1,8.134,3.619,3.235
3.619,3.235,change C1,-8.064,-4.445,2.614
-4.445,2.614,change C1,4.47606,0.03106,2.714
0.03106,2.714,change C1,0.86934,0.9004,3.176
