C1,A1,action,strength,C1_afteraction,A1_afteraction
-2.476,10.26,change A1 (A1 coarse),50.0,-4.327,8.121
1.824,5.209,change A1 (A1 coarse),50.0,3.004,2.354
-0.3885,12.28,change A1 (A1 coarse),50.0,0.1693,7.642
0.904,7.501,change A1 (A1 coarse),50.0,1.402,6.455
0.5438999999999999,3.653,change A1 (A1 coarse),50.0,0.5068,3.627
2.636,6.277,change A1 (A1 coarse),50.0,2.826,5.697
2.65,4.938,change A1 (A1 coarse),50.0,2.552,2.938
-0.07366,3.125,change A1 (A1 coarse),50.0,-0.2929,1.876
0.481,9.452,change A1 (A1 coarse),50.0,-0.756,5.401
-0.756,5.401,change A1 (A1 coarse),50.0,-1.11,4.407
-0.45630000000000004,4.812,change A1 (A1 coarse),50.0,-0.4621,1.344
19.22,3.896,change A1 (A1 coarse),50.0,11.72,2.844
-1.949,4.348,change A1 (A1 coarse),50.0,-5.063,1.272
27.94,40.88,change A1 (A1 coarse),50.0,25.05,8.61
-27.64,5.49,change A1 (A1 coarse),50.0,-27.71,3.382
-0.2844,6.742,change A1 (A1 coarse),50.0,-0.8589,0.8469
-0.6859,9.733,change A1 (A1 coarse),50.0,-3.652,4.487
-17.7,9.871,change A1 (A1 coarse),50.0,-15.24,1.871
-7.718,4.112,change A1 (A1 coarse),50.0,-8.292,1.729
-0.7257,2.905,change A1 (A1 coarse),50.0,-0.6025,1.848
-8.721,12.93,change A1 (A1 coarse),50.0,-8.909,10.2
-0.3354,4.623,change A1 (A1 coarse),50.0,-0.37810000000000005,4.936
-0.37810000000000005,4.936,change A1 (A1 coarse),50.0,-2.178,4.293
-2.178,4.293,change A1 (A1 coarse),50.0,0.5670000000000001,2.431
0.6103,4.078,change A1 (A1 coarse),50.0,-1.218,1.625
-1.012,3.966,change A1 (A1 coarse),50.0,1.127,4.338
1.127,4.338,change A1 (A1 coarse),50.0,-0.9409,3.875
-0.8512000000000001,4.425,change A1 (A1 coarse),50.0,0.9868,4.998
0.26,4.977,change A1 (A1 coarse),50.0,-1.119,3.761
-0.5977,4.494,change A1 (A1 coarse),50.0,0.8745,4.722
0.38730000000000003,5.313,change A1 (A1 coarse),75.0,-0.7414,0.728
-0.8737,3.564,change A1 (A1 coarse),75.0,-1.12,4.535
-1.211,4.295,change A1 (A1 coarse),75.0,-0.05112,5.271
-0.05112,5.271,change A1 (A1 coarse),75.0,-1.918,3.075
-2.718,16.68,change A1 (A1 coarse),75.0,0.9555,2.965
-0.32339999999999997,2.607,change A1 (A1 coarse),75.0,0.03928,2.32
-0.5321,13.67,change A1 (A1 coarse),75.0,1.216,2.343
1.216,2.343,change A1 (A1 coarse),75.0,0.47300000000000003,1.62
-0.581,3.078,change A1 (A1 coarse),75.0,-0.07705,1.498
-0.0627,8.668,change A1 (A1 coarse),75.0,0.7672000000000001,3.383
0.7672000000000001,3.383,change A1 (A1 coarse),75.0,1.367,0.6161
0.9122,6.214,change A1 (A1 coarse),75.0,1.243,4.992
1.453,2.091,change A1 (A1 coarse),75.0,1.054,1.651
1.153,1.823,change A1 (A1 coarse),75.0,1.419,1.957
0.6999,1.905,change A1 (A1 coarse),75.0,0.26539999999999997,0.3748
0.9763,2.132,change A1 (A1 coarse),75.0,1.989,2.198
1.989,2.198,change A1 (A1 coarse),75.0,1.214,2.508
0.8225,9.136,change A1 (A1 coarse),75.0,1.412,3.764
1.412,3.764,change A1 (A1 coarse),75.0,1.55,3.222
1.55,3.222,change A1 (A1 coarse),75.0,1.064,3.546
1.418,2.808,change A1 (A1 coarse),75.0,1.791,1.251
-0.6814,5.242,change A1 (A1 coarse),75.0,-0.9376,2.482
1.39,8.049,change A1 (A1 coarse),75.0,2.276,0.9174
-0.487,4.44,change A1 (A1 coarse),75.0,-0.8424,4.582
-3.288,2.554,change A1 (A1 coarse),75.0,-2.063,2.137
-2.184,2.889,change A1 (A1 coarse),75.0,-1.671,2.686
-0.5774,1.822,change A1 (A1 coarse),75.0,-0.11670000000000001,0.8279
0.43060000000000004,2.01,change A1 (A1 coarse),75.0,-0.1547,2.04
0.258,2.208,change A1 (A1 coarse),75.0,-0.5283,0.8576
-0.08804000000000001,1.715,change A1 (A1 coarse),75.0,-0.3506,0.9797
-0.509,3.89,change A1 (A1 coarse),75.0,-0.539,2.844
-0.539,2.844,change A1 (A1 coarse),75.0,-1.127,0.9732999999999999
-2.144,4.04,change A1 (A1 coarse),75.0,-2.599,3.466
-0.4358,2.194,change A1 (A1 coarse),75.0,-0.5306000000000001,2.252
-21.66,10.72,change A1 (A1 coarse),75.0,-21.39,9.412
-1.409,3.245,change A1 (A1 coarse),75.0,-0.5887000000000001,1.695
4.786,3.824,change A1 (A1 coarse),75.0,2.976,1.41
0.6574,2.32,change A1 (A1 coarse),75.0,1.324,2.982
1.324,2.982,change A1 (A1 coarse),75.0,0.687,0.1875
-0.3795,5.719,change A1 (A1 coarse),75.0,0.7945,2.201
0.5196000000000001,1.329,change A1 (A1 coarse),75.0,0.9155,1.427
-0.8476,4.758,change A1 (A1 coarse),75.0,0.09423999999999999,2.232
-0.2209,2.636,change A1 (A1 coarse),75.0,0.01806,0.9829
-0.42110000000000003,6.245,change A1 (A1 coarse),75.0,-1.37,4.687
-1.37,4.687,change A1 (A1 coarse),75.0,-0.7262000000000001,2.941
-0.1978,2.789,change A1 (A1 coarse),75.0,-0.5286000000000001,2.937
-0.5286000000000001,2.937,change A1 (A1 coarse),75.0,-0.3568,3.452
-0.3568,3.452,change A1 (A1 coarse),75.0,-1.772,2.891
-0.09504000000000001,2.394,change A1 (A1 coarse),75.0,-0.509,3.657
-0.509,3.657,change A1 (A1 coarse),75.0,-1.202,2.934
-1.159,6.729,change A1 (A1 coarse),75.0,-0.3502,2.065
-0.8276,1.788,change A1 (A1 coarse),75.0,-0.4577,1.787
-0.4577,1.787,change A1 (A1 coarse),75.0,-1.78,3.815
-1.78,3.815,change A1 (A1 coarse),75.0,-0.15080000000000002,2.916
-0.15080000000000002,2.916,change A1 (A1 coarse),75.0,-1.141,3.224
-1.141,3.224,change A1 (A1 coarse),75.0,-0.7787999999999999,1.93
-0.8485,2.927,change A1 (A1 coarse),75.0,-1.042,3.057
-1.191,2.972,change A1 (A1 coarse),75.0,-1.231,1.281
