env_id,episode,meta_step,phase,phase_j,action_sub,base_action_idx,action_str,reward,deviation_exploded,C1A1_gate_ok,High_gate_ok,C1,A1,A2,B2,A3,S3,C3
6,89,1,HIGH,0,13,13,A3 50%,-8.478801419067382,False,False,False,-0.4,1.0,200.2,438.8,1288.4,2279.2,-2235.3
6,89,1,HIGH,1,22,27,C3 10%,-8.478801419067382,False,False,False,-1.5,1.2,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,0,2,22,A1 30%,,False,False,False,-2.3,6.0,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,1,3,23,A1 50%,,False,False,False,4.2,5.4,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,2,6,34,C1 5%,,False,False,False,3.3,6.2,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,3,1,21,A1 20%,,False,False,False,8.8,4.0,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,4,8,36,C1 15%,,False,False,False,7.2,4.1,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,5,1,21,A1 20%,,False,False,False,6.6,1.2,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,6,0,20,A1 10%,,False,False,False,5.9,2.3,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,7,9,37,C1 20%,,False,False,False,5.5,0.6,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,8,0,20,A1 10%,,False,False,False,5.5,0.6,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,9,2,22,A1 30%,,False,False,False,7.2,0.6,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,10,7,35,C1 10%,,False,False,False,6.5,1.3,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,11,1,21,A1 20%,,False,False,False,8.4,2.8,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,12,2,22,A1 30%,,False,False,False,7.7,4.1,229.7,458.1,1288.4,2394.3,-1898.3
6,89,2,C1A1,13,5,33,C1 1%,,False,False,False,7.7,4.1,229.7,458.1,1288.4,2394.3,-1898.3
