#{"t_start": 1773881422.0539432, "env_id": "None"}
r,l,t
114.79614,7,0.485976
89.00855,11,0.488373
96.919945,12,0.489071
61.181576,17,0.491718
50.34853,19,0.49281
84.955284,23,0.494903
113.829475,27,0.502956
130.03395,29,0.50362
79.21048,60,0.513272
65.93562,29,0.517328
23.619974,16,0.524876
109.68754,72,0.530114
97.50102,44,0.534589
46.610374,24,0.541695
102.33961,86,0.54504
103.77546,137,0.55344
116.84774,59,0.569214
93.89538,100,0.581062
123.478806,191,0.583113
134.63026,125,0.583739
142.35919,222,0.589705
37.34875,13,0.589715
127.56354,55,0.594805
95.81002,49,4.652577
64.4664,65,4.653869
69.688156,42,4.655024
31.25119,3,4.656664
112.29139,147,4.663004
177.7668,274,4.664119
41.308895,83,4.6699
54.700127,19,4.673275
73.938324,46,4.675753
53.85143,44,4.678149
61.611485,51,4.679268
26.991375,15,4.683054
83.91927,44,4.684603
135.82849,218,4.688808
61.48767,30,4.697073
128.72783,62,4.704366
51.533024,75,4.707298
108.82197,58,4.708401
74.84183,38,4.716688
80.8147,33,4.723655
54.32769,86,4.730734
164.49727,97,4.731797
47.73332,74,4.739308
73.28614,39,4.742214
136.7963,140,4.745964
82.312164,37,4.74926
110.12351,21,4.752171
73.64305,38,4.757219
50.72145,19,4.758287
145.72408,52,7.83024
155.02054,118,7.833464
72.59676,18,7.840392
137.07063,116,7.847293
90.940674,72,7.852965
154.7879,197,7.861897
203.286,374,7.862569
117.90462,46,7.874751
92.31095,36,7.87894
136.6374,85,7.880888
135.28955,17,7.882945
70.6382,154,7.892785
121.89705,47,7.901184
74.67809,47,7.904891
117.359406,53,7.907364
126.219185,16,7.910274
129.30322,48,7.916798
80.35272,167,7.92775
50.304523,13,7.93392
130.89107,230,7.943971
138.64388,84,7.949606
132.30486,23,11.647008
179.23676,299,11.648982
76.90061,51,11.650856
134.5396,28,11.656505
33.03193,24,11.660208
144.38855,134,11.663792
121.34974,233,11.66846
159.10666,155,11.675562
137.15767,141,11.678631
84.345,10,11.681888
132.9166,47,11.685367
54.439728,17,11.688304
96.93867,75,11.688978
98.60327,41,11.691285
87.75088,12,11.697038
91.87744,27,11.702391
89.63283,120,11.713007
145.48819,120,11.719515
158.55035,73,11.719529
9.427676,1,11.721058
36.11121,7,11.724395
100.649506,15,11.727827
82.87058,11,11.729852
44.083775,62,11.734682
97.69764,103,11.738532
117.17849,88,11.741959
112.80422,152,11.743045
122.74279,65,11.746901
122.80803,9,11.751335
142.23064,34,11.75135
55.3721,3,11.752932
96.08904,35,11.769402
155.10081,163,11.771083
43.773033,12,11.775903
103.60483,99,15.053671
87.06472,5,15.056475
132.69028,128,15.066227
143.81221,109,15.067858
92.142426,105,15.070361
86.75933,46,15.074357
86.53203,57,15.07546
131.17076,23,15.081738
33.265842,23,15.085673
32.083817,15,15.092871
149.82487,76,15.094384
138.79433,157,15.095486
76.0531,55,15.0955
67.90804,5,15.097978
92.094666,9,15.099535
92.91571,17,15.10663
58.964645,19,15.108658
110.8863,36,15.111558
39.914795,19,15.117723
124.93958,48,15.119306
100.781204,20,15.121945
127.53702,209,15.130578
82.342445,152,15.14139
101.34021,51,15.143942
32.022373,36,15.14778
70.08619,5,15.150312
129.30554,139,15.150325
64.3775,15,15.151447
137.40659,94,15.152555
118.21534,69,15.155093
93.8293,18,15.159304
60.844707,28,15.164163
50.584255,11,15.164765
73.30566,53,15.167693
63.01359,14,15.171839
180.08716,197,15.172935
63.28859,25,18.66154
47.1451,60,18.664078
104.47829,57,18.674623
43.90596,99,18.682461
188.78767,170,18.683603
84.88529,69,18.689752
92.6891,110,18.693082
129.04747,37,18.703059
56.420395,93,18.709221
64.28958,76,18.713028
123.92325,18,18.71778
88.46043,112,18.720254
95.35108,59,18.72133
34.367554,9,18.724775
139.96588,149,18.729097
103.63016,84,18.730123
65.682556,60,18.732961
22.896448,22,18.732974
94.125084,22,18.736307
50.280228,46,18.74102
66.23991,60,18.742973
164.21434,122,18.744157
124.62047,32,18.748493
96.57497,37,18.749112
127.425964,42,18.750659
89.90297,24,18.753087
126.30758,14,18.755525
91.742325,50,18.757526
56.572544,18,18.758135
129.87924,38,18.761862
122.47109,21,18.763967
162.54239,59,18.765894
79.48807,16,18.766571
79.01068,34,18.772628
74.26884,28,18.777372
146.6295,59,18.779748
82.85593,49,18.785695
52.79753,45,18.787585
123.15655,99,21.435132
105.65904,79,21.438916
99.911156,5,21.441432
63.00142,37,21.446819
65.248566,9,21.451238
100.43234,4,21.453315
81.012924,50,21.45532
66.8318,33,21.457808
96.46719,18,21.462638
130.91705,28,21.471466
51.069103,54,21.481213
116.66728,40,21.481229
34.689465,131,21.483674
73.735985,35,21.487899
123.49635,118,21.492592
112.039085,29,21.494963
147.46695,152,21.496104
14.355912,5,21.497627
108.715096,194,21.502429
116.06428,47,21.514849
71.719315,57,21.514865
44.915035,42,21.516
120.3878,35,21.51891
111.68975,46,21.5195
114.42511,13,21.522401
66.88454,7,21.525855
120.44793,233,21.528002
160.7449,93,21.528635
80.35157,26,21.531839
46.945534,29,21.534288
90.03127,115,21.53739
79.884155,18,21.538011
39.553864,50,21.540817
29.519114,10,21.543188
134.73022,24,21.551888
124.6964,74,21.55191
65.89676,21,21.553011
43.253704,13,24.558267
117.54568,58,24.563554
151.94075,70,24.563582
96.30951,35,24.570119
86.71263,89,24.571361
142.84422,36,24.572031
32.522915,20,24.574034
30.605484,5,24.576525
76.05889,26,24.577133
52.706978,2,24.577723
76.90833,17,24.579242
25.485085,3,24.580834
149.39847,111,24.588475
82.76696,40,24.596828
59.934597,92,24.604389
123.61187,69,24.605446
32.673027,11,24.609767
119.52224,152,24.612663
106.01852,31,24.624258
159.1402,119,24.628614
122.60772,50,24.629243
111.902306,90,24.631195
42.675434,21,24.639175
90.31681,8,24.642986
153.31335,146,24.64667
127.41574,41,24.648225
62.56849,52,24.649314
70.80411,2,24.650395
90.75443,20,24.656732
66.57406,113,24.666493
54.541573,40,24.667621
159.56847,75,28.561832
129.85591,81,28.571356
44.465855,63,28.574075
124.217674,261,28.581815
81.57018,29,28.585733
91.49663,96,28.589182
134.7803,33,28.591186
112.86772,11,28.592264
